participant_id,session_id,event_category,count
participant-mqbsmuwn-832271,participant-mqbsmuwn-832271,system,1
participant-mqbsmuwn-832271,participant-mqbsmuwn-832271,task,1
participant-mqbtnitc-2035a0,participant-mqbtnitc-2035a0,heatmap,3899
participant-mqbtnitc-2035a0,participant-mqbtnitc-2035a0,visualization,2735
participant-mqbtnitc-2035a0,participant-mqbtnitc-2035a0,party,1149
participant-mqbtnitc-2035a0,participant-mqbtnitc-2035a0,build_edit,943
participant-mqbtnitc-2035a0,participant-mqbtnitc-2035a0,navigation,341
participant-mqbtnitc-2035a0,participant-mqbtnitc-2035a0,process,45
participant-mqbtnitc-2035a0,participant-mqbtnitc-2035a0,friction,42
participant-mqbtnitc-2035a0,participant-mqbtnitc-2035a0,build_lifecycle,40
participant-mqbtnitc-2035a0,participant-mqbtnitc-2035a0,study,5
participant-mqbtnitc-2035a0,participant-mqbtnitc-2035a0,system,1
participant-mqbtnitc-2035a0,participant-mqbtnitc-2035a0,task,1
